Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
42,20,16905,5,6,1959,1959,0,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,0,104,0,0,0,0,0,7,2007,170000
43,85,9180,5,7,1983,1983,0,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,240,0,0,0,0,0,0,12,2007,144000
44,20,9200,5,6,1975,1980,0,280,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,145,0,0,0,0,0,0,7,2008,130250
45,20,7945,5,6,1959,1959,0,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,0,0,0,0,0,0,0,5,2006,141000
46,120,7658,9,5,2005,2005,412,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,196,82,0,0,0,0,0,2,2010,319900
47,50,12822,7,5,2003,2003,0,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,168,43,0,0,198,0,0,8,2009,239686
48,20,11096,8,5,2006,2006,0,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,0,146,0,0,0,0,0,7,2007,249700
49,190,4456,4,5,1920,2008,0,0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,0,0,102,0,0,0,0,6,2009,113000
50,20,7742,5,7,1966,1966,0,763,0,192,955,955,0,0,955,1,0,1,0,3,1,6,0,0,0,0,0,0,0,0,1,2007,127000
51,60,13869,6,6,1997,1997,0,182,0,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,0,75,0,0,0,0,0,7,2007,177000
52,50,6240,6,6,1934,1950,0,0,0,816,816,816,0,360,1176,0,0,1,0,3,1,6,1,112,0,0,0,0,0,400,9,2006,114500
53,90,8472,5,5,1963,1963,0,104,712,0,816,816,0,0,816,1,0,1,0,2,1,5,0,106,0,0,0,0,0,0,5,2010,110000
54,20,50271,9,5,1981,1987,0,1810,0,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,857,72,0,0,0,0,0,11,2006,385000
55,80,7134,5,5,1955,1955,0,384,0,0,384,1360,0,0,1360,0,0,1,0,3,1,6,1,0,50,0,0,0,0,0,2,2007,130000
56,20,10175,6,5,1964,1964,272,490,0,935,1425,1425,0,0,1425,0,0,2,0,3,1,7,1,0,0,0,407,0,0,0,7,2008,180500
57,160,2645,8,5,1999,2000,456,649,0,321,970,983,756,0,1739,1,0,2,1,3,1,7,0,115,0,0,0,0,0,0,8,2009,172500
58,60,11645,7,5,2004,2004,0,0,0,860,860,860,860,0,1720,0,0,2,1,3,1,7,0,0,70,0,0,0,0,0,8,2006,196500
59,60,13682,10,5,2006,2006,1031,0,0,1410,1410,1426,1519,0,2945,0,0,3,1,3,1,10,1,192,0,37,0,0,0,0,10,2006,438780
60,20,7200,5,7,1972,1972,0,632,0,148,780,780,0,0,780,0,0,1,0,2,1,4,0,196,0,0,0,0,0,0,1,2008,124900
61,20,13072,6,5,2004,2004,0,941,0,217,1158,1158,0,0,1158,1,0,1,1,3,1,5,0,0,50,0,0,0,0,0,5,2006,158000
62,75,7200,5,7,1920,1996,0,0,0,530,530,581,530,0,1111,0,0,1,0,3,1,6,0,0,0,144,0,0,0,0,3,2007,101000
63,120,6442,8,5,2006,2006,178,24,0,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,120,49,0,0,0,0,0,10,2007,202500
64,70,10300,7,6,1921,1950,0,0,0,576,576,902,808,0,1710,0,0,2,0,3,1,9,0,12,11,64,0,0,0,0,4,2010,140000
65,60,9375,7,5,1997,1998,573,739,0,318,1057,1057,977,0,2034,1,0,2,1,3,1,8,0,576,36,0,0,0,0,0,2,2009,219500
66,60,9591,8,5,2004,2005,344,0,0,1143,1143,1143,1330,0,2473,0,0,2,1,4,1,9,1,192,151,0,0,0,0,0,10,2007,317000
67,20,19900,7,5,1970,1989,287,912,0,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,301,0,0,0,0,0,0,7,2010,180000
68,20,10665,7,5,2003,2003,167,1013,0,440,1453,1479,0,0,1479,1,0,2,0,3,1,7,0,144,29,0,0,0,0,0,6,2007,226000
69,30,4608,4,6,1945,1950,0,0,0,747,747,747,0,0,747,0,0,1,0,2,1,4,0,0,0,0,0,0,0,0,6,2010,80000
70,50,15593,7,4,1953,1953,0,603,0,701,1304,1304,983,0,2287,0,0,2,0,3,1,7,1,0,21,114,0,0,0,0,7,2006,225000
71,20,13651,7,6,1973,1973,1115,1880,0,343,2223,2223,0,0,2223,1,0,2,0,3,1,8,2,300,0,0,0,0,0,0,2,2007,244000
72,20,7599,4,6,1982,2006,0,565,0,280,845,845,0,0,845,1,0,1,0,2,1,4,0,0,0,0,0,0,0,0,6,2007,129500
73,60,10141,7,5,1998,1998,40,0,0,832,832,885,833,0,1718,0,0,2,1,3,1,7,1,0,94,0,0,291,0,0,12,2009,185000
74,20,10200,5,7,1954,2003,104,320,362,404,1086,1086,0,0,1086,1,0,1,0,3,1,6,0,0,0,0,0,0,0,0,5,2010,144900
75,50,5790,3,6,1915,1950,0,0,0,840,840,840,765,0,1605,0,0,2,0,3,2,8,0,0,0,202,0,0,0,0,5,2010,107400
76,180,1596,4,5,1973,1973,0,462,0,0,462,526,462,0,988,1,0,1,0,2,1,5,0,120,101,0,0,0,0,0,11,2009,91000
77,20,8475,4,7,1956,1956,0,228,0,724,952,952,0,0,952,0,0,1,0,2,1,4,0,0,0,0,0,0,0,0,4,2008,135750
78,50,8635,5,5,1948,2001,0,336,41,295,672,1072,213,0,1285,1,0,1,0,2,1,6,0,0,0,0,0,0,0,0,1,2008,127000
79,90,10778,4,5,1968,1968,0,0,0,1768,1768,1768,0,0,1768,0,0,2,0,4,2,8,0,0,0,0,0,0,0,0,4,2010,136500
80,50,10440,5,6,1910,1981,0,0,0,440,440,682,548,0,1230,0,0,1,1,2,1,5,0,74,0,128,0,0,0,0,5,2009,110000
81,60,13000,6,6,1968,1968,576,448,0,448,896,1182,960,0,2142,0,0,2,1,4,1,8,1,0,72,0,0,252,0,0,6,2009,193500
82,120,4500,6,5,1998,1998,443,1201,0,36,1237,1337,0,0,1337,1,0,2,0,2,1,5,0,0,199,0,0,0,0,0,3,2006,153500
83,20,10206,8,5,2007,2007,468,33,0,1530,1563,1563,0,0,1563,0,0,2,0,3,1,6,1,144,99,0,0,0,0,0,10,2008,245000
84,20,8892,5,5,1960,1960,66,0,0,1065,1065,1065,0,0,1065,0,0,1,1,3,1,6,0,74,0,0,0,0,0,0,7,2007,126500
85,80,8530,7,5,1995,1996,22,0,0,384,384,804,670,0,1474,0,0,2,1,3,1,7,1,120,72,0,0,0,0,700,5,2009,168500
86,60,16059,8,5,1991,1992,284,0,0,1288,1288,1301,1116,0,2417,0,0,2,1,4,1,9,1,127,82,0,0,0,0,0,4,2006,260000
87,60,11911,6,5,2005,2005,0,0,0,684,684,684,876,0,1560,0,0,2,1,3,1,6,1,100,38,0,0,0,0,0,3,2009,174000
88,160,3951,6,5,2009,2009,76,0,0,612,612,612,612,0,1224,0,0,2,1,2,1,4,0,0,234,0,0,0,0,0,6,2009,164500
89,50,8470,3,2,1915,1982,0,0,0,1013,1013,1013,0,513,1526,0,0,1,0,2,1,6,0,0,0,156,0,0,0,0,10,2009,85000
90,20,8070,4,5,1994,1995,0,588,0,402,990,990,0,0,990,1,0,1,0,3,1,5,0,0,0,0,0,0,0,0,8,2007,123600
91,20,7200,4,5,1950,1950,0,0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,4,0,0,29,0,0,0,0,0,7,2006,109900
92,20,8500,5,3,1961,1961,203,600,0,635,1235,1235,0,0,1235,0,0,1,0,2,1,6,0,0,0,0,0,0,0,0,12,2006,98600
93,30,13360,5,7,1921,2006,0,713,0,163,876,964,0,0,964,1,0,1,0,2,1,5,0,0,0,44,0,0,0,0,8,2009,163500
94,190,7200,6,6,1910,1998,0,1046,0,168,1214,1260,1031,0,2291,0,1,2,0,4,2,9,1,0,0,0,0,99,0,0,11,2007,133900
95,60,9337,6,5,1997,1997,0,648,0,176,824,905,881,0,1786,1,0,2,1,3,1,7,0,0,162,0,0,0,0,0,5,2007,204750
96,60,9765,6,8,1993,1993,68,310,0,370,680,680,790,0,1470,0,0,2,1,3,1,6,1,232,63,0,0,0,0,480,4,2009,185000
97,20,10264,7,5,1999,1999,183,1162,0,426,1588,1588,0,0,1588,0,0,2,0,3,1,6,0,158,29,0,0,0,0,0,8,2006,214000
98,20,10921,4,5,1965,1965,48,520,0,440,960,960,0,0,960,1,0,1,0,3,1,6,0,120,0,0,0,0,0,0,5,2007,94750
99,30,10625,5,5,1920,1950,0,108,0,350,458,835,0,0,835,0,0,1,0,2,1,5,0,0,0,77,0,0,0,400,5,2010,83000
100,20,9320,4,5,1959,1959,0,569,0,381,950,1225,0,0,1225,1,0,1,1,3,1,6,0,352,0,0,0,0,0,400,1,2010,128950
101,20,10603,6,7,1977,2001,28,1200,0,410,1610,1610,0,0,1610,1,0,2,0,3,1,6,2,168,68,0,0,0,0,0,2,2010,205000
102,60,9206,6,5,1985,1985,336,0,0,741,741,977,755,0,1732,0,0,2,1,3,1,7,1,192,46,0,0,0,0,0,6,2010,178000
103,90,7018,5,5,1979,1979,0,0,0,0,0,1535,0,0,1535,0,0,2,0,4,2,8,0,0,0,0,0,0,0,0,6,2009,118964
104,20,10402,7,5,2009,2009,0,0,0,1226,1226,1226,0,0,1226,0,0,2,0,3,1,6,0,0,36,0,0,0,0,0,5,2010,198900
105,50,7758,7,4,1931,1950,600,224,0,816,1040,1226,592,0,1818,0,0,1,1,4,1,7,2,0,0,0,0,184,0,0,6,2007,169500
106,60,9375,8,5,2003,2004,768,0,0,1053,1053,1053,939,0,1992,0,0,2,1,3,1,9,1,140,45,0,0,0,0,0,8,2008,250000
107,30,10800,4,7,1885,1995,0,0,0,641,641,1047,0,0,1047,0,0,1,0,2,1,6,0,0,0,0,0,0,0,450,8,2007,100000
108,20,6000,5,5,1948,1950,0,104,169,516,789,789,0,0,789,0,0,1,0,2,1,5,0,0,0,0,0,0,0,0,4,2008,115000
109,50,8500,5,7,1919,2005,0,0,0,793,793,997,520,0,1517,0,0,2,0,3,1,7,0,0,0,144,0,0,0,0,8,2007,115000
110,20,11751,6,6,1977,1977,480,705,0,1139,1844,1844,0,0,1844,0,0,2,0,3,1,7,1,0,122,0,0,0,0,0,1,2010,190000
111,50,9525,6,4,1954,1972,0,444,0,550,994,1216,639,0,1855,0,0,2,0,4,1,7,0,182,0,0,0,0,0,0,10,2006,136900
112,80,7750,7,5,2000,2000,0,250,0,134,384,774,656,0,1430,0,0,2,1,3,1,7,1,180,0,0,0,0,0,0,4,2010,180000
113,60,9965,7,5,2007,2007,220,984,0,280,1264,1282,1414,0,2696,1,0,2,1,4,1,10,1,120,184,0,0,168,0,0,10,2007,383970
114,20,21000,6,5,1953,1953,184,35,869,905,1809,2259,0,0,2259,1,0,2,0,3,1,7,2,166,120,192,0,0,0,0,10,2007,217000
115,70,7259,6,8,1945,2002,0,774,150,104,1028,1436,884,0,2320,1,0,2,1,3,1,9,1,224,0,0,0,0,0,0,7,2007,259500
116,160,3230,6,5,1999,1999,1129,419,0,310,729,729,729,0,1458,0,0,2,1,2,1,5,1,0,32,0,0,0,0,0,6,2007,176000
117,20,11616,5,5,1962,1962,116,170,670,252,1092,1092,0,0,1092,0,1,1,0,3,1,6,1,0,20,144,0,0,0,0,9,2009,139000
118,20,8536,5,5,2006,2007,0,0,0,1125,1125,1125,0,0,1125,0,0,1,1,2,1,5,0,80,64,0,0,0,0,0,4,2007,155000
119,60,12376,7,5,1990,1990,0,1470,0,203,1673,1699,1523,0,3222,1,0,3,0,5,1,11,2,367,0,0,0,0,0,0,5,2010,320000
120,60,8461,6,5,2005,2006,0,0,0,728,728,728,728,0,1456,0,0,2,1,3,1,8,1,0,24,0,0,0,0,0,7,2006,163990
121,80,21453,6,5,1969,1969,0,938,0,0,938,988,0,0,988,1,0,1,0,1,1,4,2,0,130,0,130,0,0,0,10,2006,180000
122,50,6060,4,5,1939,1950,0,0,0,732,732,772,351,0,1123,0,0,1,0,3,1,4,0,0,0,140,0,0,0,0,6,2007,100000
123,20,9464,6,7,1958,1958,135,570,0,510,1080,1080,0,0,1080,0,0,1,0,3,1,5,0,0,0,0,0,130,0,0,6,2008,136000
124,120,7892,6,5,1993,1993,0,300,0,899,1199,1199,0,0,1199,0,0,2,0,2,1,5,0,0,63,0,0,0,0,0,3,2008,153900
125,20,17043,6,5,1979,1998,0,0,0,1362,1362,1586,0,0,1586,0,0,2,0,3,1,7,1,192,0,0,0,0,0,0,1,2009,181000
126,190,6780,6,8,1935,1982,0,490,0,30,520,520,0,234,754,1,0,1,0,2,1,5,0,53,0,0,0,0,0,0,6,2006,84500
127,120,4928,6,5,1976,1976,0,120,0,958,1078,958,0,0,958,0,0,2,0,2,1,5,1,0,205,0,0,0,0,0,2,2007,128000
128,45,4388,5,7,1930,1950,0,116,0,556,672,840,0,0,840,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,6,2007,87000
129,60,7590,6,5,1966,1966,266,512,0,148,660,660,688,0,1348,0,0,1,1,3,1,6,1,188,108,0,0,0,0,0,7,2006,155000
130,20,8973,5,7,1958,1991,85,567,28,413,1008,1053,0,0,1053,0,1,1,1,3,1,6,0,0,80,0,180,0,0,0,7,2006,150000
131,60,14200,7,6,1966,1966,309,445,0,479,924,1216,941,0,2157,0,0,2,1,4,1,8,2,105,66,0,0,0,0,0,5,2006,226000
132,60,12224,6,5,2000,2000,40,695,0,297,992,1022,1032,0,2054,1,0,2,1,3,1,7,1,24,48,0,0,0,0,0,7,2009,244000
133,20,7388,5,6,1959,2002,0,405,0,658,1063,1327,0,0,1327,1,0,1,0,3,1,7,0,0,0,0,0,0,0,0,7,2007,150750
134,20,6853,8,5,2001,2002,136,1005,0,262,1267,1296,0,0,1296,1,0,2,0,2,1,6,0,192,25,0,0,0,0,0,6,2009,220000
135,20,10335,5,6,1968,1993,0,570,0,891,1461,1721,0,0,1721,0,0,2,1,3,1,7,1,0,96,180,0,0,0,0,7,2006,180000
136,20,10400,7,6,1970,1970,288,0,0,1304,1304,1682,0,0,1682,0,0,2,0,3,1,7,1,98,0,0,0,0,0,0,5,2008,174000
137,20,10355,5,5,1967,1967,196,695,0,519,1214,1214,0,0,1214,0,0,2,0,3,1,5,1,0,111,0,0,0,0,0,7,2007,143000
138,90,11070,7,5,1988,1989,70,0,0,1907,1907,1959,0,0,1959,0,0,3,0,5,2,9,0,0,0,0,0,0,0,0,7,2006,171000
139,60,9066,8,5,1999,2000,320,668,0,336,1004,1004,848,0,1852,0,0,2,1,3,1,7,2,224,106,0,0,0,0,0,12,2008,230000
140,60,15426,6,5,1997,1997,0,821,0,107,928,928,836,0,1764,1,0,2,1,3,1,7,0,276,99,0,0,0,0,0,8,2009,231500
141,20,10500,4,5,1971,1971,0,432,0,432,864,864,0,0,864,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,4,2010,115000
142,20,11645,7,5,2005,2005,0,1300,0,434,1734,1734,0,0,1734,1,0,2,0,3,1,7,0,160,24,0,0,0,0,0,1,2006,260000
143,50,8520,5,4,1952,1952,0,507,0,403,910,910,475,0,1385,0,0,2,0,4,1,6,0,0,0,0,0,0,0,0,6,2010,166000
144,20,10335,7,5,1999,1999,183,679,0,811,1490,1501,0,0,1501,1,0,2,0,3,1,6,0,144,29,0,0,0,0,0,6,2009,204000
145,90,9100,5,5,1963,1963,336,1332,0,396,1728,1728,0,0,1728,1,0,2,0,6,2,10,0,0,0,0,0,0,0,0,11,2006,125000
146,160,2522,6,5,2004,2006,50,0,0,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,0,40,0,0,0,0,0,4,2006,130000
147,30,6120,5,7,1931,1993,0,209,0,506,715,875,0,0,875,1,0,1,0,2,1,5,0,48,0,0,0,0,0,0,11,2009,105000
148,60,9505,7,5,2001,2001,180,0,0,884,884,884,1151,0,2035,0,0,2,1,3,1,8,1,144,48,0,0,0,0,0,5,2010,222500
149,20,7500,7,5,2004,2005,120,680,0,400,1080,1080,0,0,1080,1,0,1,0,3,1,6,0,0,0,0,0,0,0,0,4,2008,141000
150,50,6240,5,4,1936,1950,0,0,0,896,896,896,448,0,1344,0,0,1,0,3,1,7,0,200,114,0,0,0,0,0,4,2006,115000
151,20,10356,5,6,1975,1975,0,716,0,253,969,969,0,0,969,0,0,1,1,3,1,5,0,0,0,0,0,0,0,0,1,2007,122000
152,20,13891,8,5,2007,2008,436,1400,0,310,1710,1710,0,0,1710,1,0,2,0,2,1,6,1,0,102,0,0,0,0,0,1,2008,372402
153,60,14803,6,5,1971,1971,252,416,0,409,825,1097,896,0,1993,0,0,2,1,4,1,8,1,0,66,0,0,0,0,0,6,2006,190000
154,20,13500,6,7,1960,1975,0,429,1080,93,1602,1252,0,0,1252,1,0,1,0,1,1,4,1,409,0,0,0,0,0,0,3,2008,235000
155,30,11340,6,5,1923,1950,0,0,0,1200,1200,1200,0,0,1200,0,0,1,0,4,1,7,0,0,0,228,0,0,0,0,3,2006,125000
156,50,9600,6,5,1924,1950,0,0,0,572,572,572,524,0,1096,0,0,1,0,2,1,5,0,0,8,128,0,0,0,0,4,2008,79000
157,20,7200,5,7,1950,1950,0,0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,5,0,0,0,0,0,0,0,0,6,2006,109500
158,60,12003,8,5,2009,2010,84,0,0,774,774,774,1194,0,1968,0,0,2,1,4,1,8,1,0,75,0,0,0,0,0,5,2010,269500
159,60,12552,7,5,2004,2005,0,222,0,769,991,991,956,0,1947,0,0,2,1,3,1,8,1,0,136,0,0,0,0,0,5,2010,254900
160,60,19378,7,5,2005,2006,456,57,0,1335,1392,1392,1070,0,2462,1,0,2,1,4,1,9,1,239,132,0,168,0,0,0,3,2006,320000
161,20,11120,6,6,1984,1984,0,660,0,572,1232,1232,0,0,1232,0,0,2,0,3,1,6,0,0,0,0,0,0,0,0,6,2008,162500
162,60,13688,9,5,2003,2004,664,1016,0,556,1572,1572,1096,0,2668,1,0,2,1,3,1,10,2,400,0,0,0,0,0,0,3,2008,412500
163,20,12182,7,5,2005,2005,226,1201,0,340,1541,1541,0,0,1541,0,0,2,0,3,1,7,1,0,70,0,0,0,0,0,5,2010,220000
164,45,5500,4,6,1956,1956,0,0,0,882,882,882,0,0,882,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,4,2007,103200
165,40,5400,6,7,1926,2004,0,370,0,779,1149,1149,467,0,1616,0,0,2,0,3,1,5,0,0,0,183,0,0,0,0,10,2007,152000
166,190,10106,5,7,1940,1999,0,351,181,112,644,808,547,0,1355,1,0,2,0,4,2,6,0,140,0,0,0,0,0,0,9,2008,127500
167,20,10708,5,5,1955,1993,0,379,768,470,1617,1867,0,0,1867,1,0,1,0,2,1,7,3,476,0,0,0,142,0,0,11,2009,190000
168,60,10562,8,5,2007,2007,300,1288,0,294,1582,1610,551,0,2161,1,0,1,1,3,1,8,1,178,120,0,0,0,0,0,11,2007,325624
169,60,8244,7,5,2004,2004,0,0,0,840,840,840,880,0,1720,0,0,2,1,3,1,7,1,100,48,0,0,0,0,0,5,2007,183500
170,20,16669,8,6,1981,1981,653,0,0,1686,1686,1707,0,0,1707,0,0,2,1,2,1,6,1,574,64,0,0,0,0,0,1,2006,228000
171,50,12358,5,6,1941,1950,0,360,0,360,720,854,0,528,1382,0,0,1,1,2,1,7,0,237,0,0,0,0,0,0,5,2007,128500
172,20,31770,6,5,1960,1960,112,639,0,441,1080,1656,0,0,1656,1,0,1,0,3,1,7,2,210,62,0,0,0,0,0,5,2010,215000
173,160,5306,7,7,1987,1987,0,495,215,354,1064,1064,703,0,1767,1,0,2,0,2,1,5,1,441,35,0,0,0,0,0,6,2006,239000
174,20,10197,6,5,1961,1961,491,288,374,700,1362,1362,0,0,1362,1,0,1,1,3,1,6,1,0,20,0,0,0,0,0,6,2008,163000
175,20,12416,6,5,1986,1986,132,1398,208,0,1606,1651,0,0,1651,1,0,2,0,3,1,7,1,192,0,0,0,0,0,0,11,2008,184000
176,20,12615,6,7,1950,2001,0,477,0,725,1202,2158,0,0,2158,1,0,2,0,4,1,7,1,0,29,39,0,0,0,0,6,2007,243000
177,60,10029,6,5,1988,1989,268,831,0,320,1151,1164,896,0,2060,0,1,2,1,4,1,8,1,0,228,0,0,192,0,0,9,2007,211000
178,50,13650,5,5,1958,1958,0,57,441,554,1052,1252,668,0,1920,1,0,2,0,4,1,8,1,0,0,0,0,0,0,0,7,2006,172500
